,Month,min,second,third,max,monthly_avg,monthly_var
0,0,-2.0625,13.171875,18.03125,24.359375,22.258908173133587,3.4238305907637225
1,1,-9.5,11.59375,22.84375,29.625,27.774945412912675,4.877272107010693
2,2,18.25,21.28125,27.96875,35.3125,33.977311579386395,6.4218458102296685
3,3,26.09375,31.796875,35.71875,43.90625,42.369171142578125,4.604320005498201
4,4,31.71875,38.5625,44.3125,52.6875,48.49971237182617,6.516568818078008
5,5,38.90625,49.75,53.1875,59.15625,54.14843036282447,2.167130105813217
6,6,53.5625,56.5625,58.9375,64.1875,53.2408820121519,2.485035001333953
7,7,48.8125,52.1875,57.4375,61.4375,22.300411033630372,9.389008299568102
8,11,8.140625,13.59375,17.03125,33.65625,19.634010868687785,5.6447904573048175
